drug_id,drug_name,manufacturer,batch_number,manufacture_country,manufacture_date,expiry_date,active_ingredient,dosage_mg,price_inr,label
1,Paracetamol,Abbott India,B36518,Switzerland,2024-05-08,2026-09-11,Paracetamol,500,132.53,1
2,Metformin,GSK,B81241,Switzerland,2025-01-25,2027-10-29,Metformin,500,126.45,1
3,Paracetamol,Zydus Cadila,B248724,Switzerland,2023-07-30,2025-03-15,Paracetamol,500,136.6,0
4,Ibuprofen,Glenmark,N53E,USA,2024-02-21,2024-10-30,Ibuprofen,400,32.05,0
5,Pantoprazole,Cipla,B33339,USA,2025-12-21,2028-06-16,Pantoprazole,40,152.68,1
6,Azithromycin,Zydus Cadila,B465308,Germany,2024-02-25,2025-11-28,Azithromycin,500,286.28,1
7,Cetirizine,Mankind Pharma,B95964,Switzerland,2024-05-23,2026-04-15,Cetirizine,10,109.71,1
8,Metformin,Bayer India,B85739,Germany,2025-12-19,2027-09-30,Metformin,500,151.57,1
9,Cetirizine,Pfizer,B544420,Switzerland,2026-04-08,2029-03-18,Cetirizine,10,72.83,1
10,Pantoprazole,Alkem,RTT3,Switzerland,2025-12-07,2026-03-03,Pantoprazole,40,85.13,0
11,Omeprazole,Torrent,87C,USA,2024-05-08,2024-07-13,Omeprazole,20,87.37,0
12,Amlodipine,BioMed Generics,CE,Switzerland,2025-09-08,2026-09-01,Amlodipine,5,87.51,1
13,Cetirizine,Cipla,B13956,India,2024-05-23,2026-06-01,Cetirizine,10,83.97,1
14,Omeprazole,Pfizer,B71573,India,2024-05-09,2026-10-31,Omeprazole,20,102.31,1
15,Atorvastatin,Bayer India,B47587,UK,2024-03-11,2025-08-17,Atorvastatin,10,155.81,1
16,Paracetamol,Dr. Reddy's,Y5T,Germany,2026-05-20,2026-08-16,Paracetamol,500,72.75,0
17,Azithromycin,Pfizer,B37769,USA,2025-10-25,2028-07-19,Azithromycin,500,244.99,1
18,Ibuprofen,GenPharm Ltd,GN7921,India,2025-09-14,2027-09-29,Ibuprofen,400,54.61,0
19,Omeprazole,Abbott India,B129411,USA,2024-11-29,2026-09-13,Omeprazole,20,125.09,1
20,Amoxicillin,Zydus Cadila,B93674,India,2023-10-02,2025-06-04,Amoxicillin,250,135.71,1
21,Pantoprazole,GSK,B5254,UK,2024-02-03,2025-12-15,Pantoprazole,40,214.5,0
22,Cetirizine,BioMed Generics,B860939,Germany,2025-07-25,2026-12-04,Cetirizine,10,76.47,1
23,Amoxicillin,Mankind Pharma,B13104,USA,2025-09-17,2028-01-18,Amoxicillin,250,182.45,1
24,Paracetamol,GSK,B40352,USA,2024-10-11,2027-09-08,Paracetamol,500,90.25,1
25,Azithromycin,Novartis,B569217,Switzerland,2024-04-21,2026-04-03,Azithromycin,500,269.05,1
26,Pantoprazole,Pfizer,B29975,Switzerland,2026-05-11,2027-08-18,Pantoprazole,40,163.59,1
27,Azithromycin,Cipla,B428957,Germany,2024-07-09,2026-05-07,Azithromycin,500,238.31,1
28,Atorvastatin,Cipla,B370473,UK,2026-03-23,2027-12-10,Atorvastatin,10,237.17,1
29,Metformin,Cipla,B141515,Germany,2025-08-10,2027-05-30,Metformin,500,115.28,1
30,Pantoprazole,Abbott India,B491835,Switzerland,2024-01-14,2026-12-12,Pantoprazole,40,150.93,1
